OBJECTID;Name;Exposition;Hangneig;Woelbung;TWIndex;LS-Faktor;Pfad_Fluss;Pfad_Dorf
123;B0124;93,81410217;10,36139965;-11,72490025;-10,19970036;8,475629807;4800,589844;1527,949951
124;B0125;331,6990051;3,425489902;-63,3429985;-6,379020214;3,201819897;4899,890137;1508,410034
125;B0126;11,30990028;4,726850033;-51,48099899;-9,421560287;8,795829773;5127,819824;1519,040039
126;B0127;94,3986969;6,03470993;-15,80700016;-12,68369961;4,891640186;5090,120117;1429,959961
127;B0128;342,7590027;7,0177598;-12,61050034;-15,3203001;2,793339968;5368,660156;1661,040039
128;B0129;167,7350006;5,450719833;-16,53899956;-8,391940117;8,95938015;5509,660156;1742,170044
129;B0130;82,69419861;9,056879997;-51,43479919;-13,62199974;3,413830042;5406,839844;2145,939941
130;B0131;64,65380096;14,34290028;-11,59759998;-18,57629967;1,768059969;5703,439941;1525,630005
131;B0132;45;4,915309906;-21,12299919;-6,957870007;3,130850077;6078,669922;779,947998
132;B0133;106,1439972;17,7840004;0,617386997;-17,14769936;2,447999954;6263,259766;1488,930054
133;B0134;143,427002;8,894000053;0,081501603;-12,84560013;4,992879868;7130,879883;1036,339966
134;B0135;349,1600037;10,97910023;-15,1718998;-15,92580032;2,860160112;7044,049805;1193,27002
135;B0136;353,8110046;18,69879913;-6,410009861;-15,79399967;3,298530102;7324,52002;1014,340027
136;B0137;18,43490028;15,75059986;-7,557670116;-10,87020016;8,56332016;7497,589844;841,9530029
137;B0138;39,7098999;17,27160072;-10,52029991;-15,02649975;3,708450079;7670,200195;694,2109985
138;B0139;138,8139954;4,926169872;-18,01600075;-8,92595005;8,23225975;7775,52002;765,25
139;B0140;27,34989929;21,6576004;-3,072679996;-16,91629982;2,720590115;7717,859863;788,492981
140;B0141;51,14659882;20,54700089;2,511509895;-17,85400009;2,091959953;7708,430176;827,0020142
141;B0142;141,0090027;12,35649967;-5,610459805;-15,38319969;3,205199957;7809,549805;603,1240234
142;B0143;52,125;20,29369926;-6,002799988;-16,05139923;3,206330061;7397,919922;755,2789917
143;B0144;70,01689911;15,89210033;-3,387880087;-16,40999985;2,706929922;7736,779785;707,8980103
144;B0145;45;9,439970016;-6,892049789;-15,7347002;2,923540115;7945,72998;690,822998
145;B0146;19,8852005;11,45429993;-3,275190115;-13,38669968;4,752669811;8271,570313;626,9199829
146;B0147;341,5650024;8,745849609;-21,17519951;-12,77050018;4,699699879;8372,990234;611,8909912
147;B0148;29,47590065;12,09080029;1,520689964;-14,88679981;3,165899992;8415,370117;495,5320129
